date,home_team,away_team,home_goals,away_goals,is_neutral,is_intl,home_elo,away_elo
1918-08-25,Argentina,Uruguay,2,1,0,1,1541.1177172887749,1523.6366952777207
1918-09-20,Uruguay,Argentina,1,1,0,1,1515.5548951083588,1549.1995174581368
1918-09-29,Argentina,Uruguay,2,0,0,1,1549.6699156493507,1515.0844969171449
1919-05-11,Brazil,Chile,6,0,0,1,1493.623564704217,1441.6220227292874
1919-05-12,Philippines,China,0,2,0,1,1503.2600881321887,1519.2722433051877
1919-05-13,Philippines,China,2,1,0,1,1492.2849479410572,1530.2473834963191
1919-05-13,Uruguay,Argentina,3,2,1,1,1507.4720749219323,1557.2823376445633
1919-05-15,Philippines,China,1,2,0,1,1501.9386175535717,1520.5937138838046
1919-05-17,Uruguay,Chile,2,0,1,1,1518.8959873336205,1434.47632487181
1919-05-18,Brazil,Argentina,3,1,0,1,1500.7692625616944,1545.858425232875
1919-05-22,Argentina,Chile,4,1,1,1,1535.999761081091,1426.8594034790726
1919-05-25,Brazil,Uruguay,2,2,0,1,1510.6279267134785,1526.5129087263579
1919-05-29,Brazil,Uruguay,1,0,0,1,1509.6491611202212,1527.4916743196152
1919-07-18,Uruguay,Argentina,4,1,0,1,1518.4146071865193,1542.9578538290016
1919-08-24,Uruguay,Argentina,2,1,0,1,1527.6832113047733,1533.6892497107476
1919-09-07,Argentina,Uruguay,1,2,0,1,1524.9487732310504,1536.4236877844705
1919-10-19,Argentina,Uruguay,6,1,0,1,1513.8444544041463,1547.5280066113746
1919-10-25,Ireland,England,1,1,0,1,1380.6673727696038,1660.0717683698406
1919-12-07,Uruguay,Argentina,4,2,0,1,1537.9972867846936,1523.3751742308273
1920-02-14,Ireland,Wales,2,2,0,1,1386.4528628477663,1398.2464074310467
1920-02-26,Wales,Scotland,1,1,0,1,1399.341666274551,1592.0558738658294
1920-03-13,Scotland,Ireland,3,0,0,1,1588.164657633156,1385.357604004262
1920-03-15,England,Wales,1,2,0,1,1654.2862782916782,1403.2328825072245
1920-04-10,England,Scotland,5,4,0,1,1637.2903564975948,1591.948480839674
1920-07-18,Uruguay,Argentina,2,0,0,1,1546.1584687815705,1515.2139922339504
1920-07-25,Argentina,Uruguay,1,3,0,1,1507.5025051129019,1553.869955902619
1920-08-08,Argentina,Uruguay,1,0,0,1,1497.3979557516673,1563.9745052638536
1920-08-28,Italy,Egypt,2,1,1,1,1491.245025575985,1500.0
1920-08-28,Netherlands,Luxembourg,3,0,1,1,1525.9738254228764,1500.0
